metric,value
tau,4.48
draft_acceptance_rate,0.2319
num_drafts,1968
num_draft_tokens,29520
num_accepted_tokens,6845
acceptance_pos_0,0.7795
acceptance_pos_1,0.5803
acceptance_pos_2,0.4314
acceptance_pos_3,0.3379
acceptance_pos_4,0.2683
acceptance_pos_5,0.2144
acceptance_pos_6,0.1804
acceptance_pos_7,0.1458
acceptance_pos_8,0.1245
acceptance_pos_9,0.1032
acceptance_pos_10,0.0859
acceptance_pos_11,0.0757
acceptance_pos_12,0.061
acceptance_pos_13,0.0498
acceptance_pos_14,0.0401
